akk;en
SIKIL;SIKIL
SU;SU
SUD;SUD
SUG;SUG
SUM;SUM
SUR;SUR
SUḪUR;SUḪUR
SUḪUŠ;SUHUC
TA;TA
TAB;TAB
TAG;TAG
TAR;TAR
TE-X;TE-X
TE;TE
TI;TI
TIL;TIL
TU-TU;meaning unknown
TU;TU
TU;type of priest
TUKU;TUKU
TUM.GAG.MUNUS;meaning unknown
TUM.KU;meaning unknown
TUM;TUM
TUR.UZ.ZA;type of duck
TUR;TUR
U.GA.ḪI;meaning unknown
U.NAM.KUR;meaning unknown
U;U
U;type of stone
UB;UB
UD;UD
UG;UG
UGU;UGU
UL-nir-ma;UL-nir-ma
UL.MA;designation of mound
UL;UL
UM;UM
UN-gal;ruler
UN;UN
UNU.SAR;garden
UNU;UNU
UR.GA-ru;meaning unknown
UR;UR
URU;URU
URUA;URUA
URUD;URUD
URUGAL;URUGAL
URUX;URUX
UZ;UZ
UŠ;UŠ
X-ma;X-ma
X;X
X;X-ra
X;type of bird
X;type of garment
X;type of plant
X;type of stone
X;unclear
Xbr;Xbr
ZA.LAM;meaning unknown
ZA;ZA
ZA;type of boat
ZAR;ZAR
ZI/ZI.A;type of grass
ZI;ZI
ZU;ZU
ZUM;ZUM
a-;
a-KU;a-KU
a-MIR;a-MIR
a-RU-ub;pitfall
a-a-lum;stag
a-a;Aya
a-a;father
a-a;type of scribal exercise
a-ab-ba;sea
a-al-la-ri;expression of joy
a-ambar;marsh water
a-ba-al;dry
a-ba;who
a-bi-e-šu-uḫ;Abī-Ešuḫ
a-da-ab;type of drum and composition
a-da-al-la-bi;now
a-da-al-ta;henceforth
a-da-al;now
a-da;contest
a-dag-bi-ir;Adagbir
a-dar-dar-ra;type of bird
a-dar-ra;thicket
a-eštub;water
a-ga-;
a-ga;rear
a-igi-lu;boatman
a-ki-ta;source
a-la-la;designation of stick
a-la-la;oh
a-la;exuberance
a-lam-ma;type of exclamation
a-lu;meaning unknown
a-lum;long-fleeced sheep
a-ma-ru;flood
a-na-aš;why
a-na;what
a-naĝ;drink
a-nir;lament
a-num;
a-nun-na;Anuna
a-pap;pipe
a-pi-il-la-ša;Apillaša
a-pil-ki-in;Apilkin
a-ra-li;Arali
a-ra-wa;Arawa
a-ra-zu;supplication
a-ra-ḫi;type of composition
a-ru-ru;Aruru
a-ru;eagle
a-sa-lim;Asalim
a-sal-bar;architrave
a-sig;type of vessel
a-sur-ra;subterranean water
a-tar;mockery
a-tu-tu;type of plant
a-tu;type of priest
a-wa-an;Awan
a-za-ad;head
a-za-lu-lu;all living creatures
a-zu;healer
a-ša-an-g;
a-ḫa-an;type of fish
a-ḫa-an;vomit
a;bird-cry
a;oh
a;water
ab-B;
ab-TU;meaning unknown
ab-ba-;
ab-ba;Sea-land
ab-ba;father
ab-bi;meaning unknown
ab-ki-iz;cleaned furrow
ab-š;
ab;opening
ab;sea
abgal;sage
abrig;type of priest
abula;gate
abzu;Abzu
abzu;underground water
ad-KID;basket weaver
ad-da-ab-ba;grandfather
ad-da;father
ad-ḫal;secret
ad;log
ad;voice
adab;Adab
addir;ferry
addir;wage
ag-ga;Aga
aga-silig;type of axe
aga;crown
aga;type of vessel
agargara;fish spawn
agrun-kug;Agrun-kug
agrun;cella
ak;do
akan;teat
akkil;Akkil
akkil;cry
aktum;type of garment
akšak;Akšak
al-k;
al-la-nu-um;acorn
al-la;Alla
al-lib;stupour
al-lub;Allub
al-lub;crab
al-tar;construction work
al-tar;hoe-wielder
al-tar;mighty
al-ĝar-s;
al-ĝar;type of instrument
al-šub;type of hoe
al;desire
al;hoe
alad;guardian deity
alal;conduit
alamuš;Alamuš
alan;statue
algameš;type of stone
alim;bison
am-am;type of container
am-si-ḫar-ra-an;camel
am-si;elephant
am-ḫa-ru;type of plant
am;wild bull
ama-a-tud;house-born slave
ama-alim;Ama-alim
ama-inana;goddess
ama-ugu-ku-ku;Ama-ugu-kuku
ama-ušum;Ama-ušum
ama-ušumgal-an-na;Ama-ušumgal-ana
ama-ušumgal;Ama-ušumgal
ama-ĝeštin-an-na;Ama-ĝeštin-ana
ama-šilam-ma;Ama-šilama
ama;mother
amalu;cult prostitute
amar-suen-na;Amar-Suena
amar;calf
amaš-kug-ga;Amaš-kuga
amaš;sheepfold
ambar;marsh
an-B;
an-ba;litter
an-bar;limit of heaven
an-edin;high plain
an-gub-ba;guardian deity
an-na;approval
an-pa;zenith
an-ta-sur-ra;type of stone
an-ta;companion
an-ti-bal;sign
an-ub;corner of heaven
an-usan;evening
an-za-am;type of vessel
an-zag;border of heaven
an-zil;taboo
an-ĝar;meaning unknown
an;An
an;heaven
an;ḫeaven
anzud;Anzud
anše-bal;replacement donkey
anše-kur-ra;horse
anše-nitaḫ;male donkey
anše-ĝiš;yoked donkey
anše;donkey
apin-t;
apin;plough
ar-ga-an-;
ar-ga-nu-um;type of conifer
ar-wi;
arad;slave
aratta;Aratta
arḫuš;compassion
asar-;
asar-alim-nun-na;Asar-alim-nuna
asari;Asari
asila-kug;Asila-kug
asila;rejoicing
at-ta-ma-an-nu-um;Atta-mannum
az-bal;type of neck stock
az;bear
azag;taboo
aĝrig;housekeeper
aš-me;sun
aš-te;Ašte
aš-šu;Aššu
aš;spittle
ašgab;leatherworker
b;
ba-al-;
ba-al;dig
ba-an-s;
ba-an;capacity measure
ba-ba;type of porridge
ba-bu-um;Babum
ba-da-ra;stilleto blade
ba-li-iḫ;Baliḫ
ba-lu-lu;Balulu
ba-ra-aḫ;fighting
ba-za;cripple
ba-zi;Bazi
ba-ši-mi;Bašimi
ba;allot
ba;type of vessel
babbar;white
bad;open
bal-a-re;opposing side
bal-bal-e;type of composition
bal;spindle
bal;term
bal;turn over
bal;type of stone
balaĝ;type of instrument and composition
banšur;table
bappir;beer bread
bar-;
bar-bar;type of reed
bar-dili;type of plough
bar-s;
bar-sal-nun-na;Barsal-nuna
bar-sal;type of sheep
bar-sud;composition-division
bar-šu-ĝ;
bar;outside
bar;set aside
barag-s;
barag;dais
barag;press
barag;sack
be-;
be-li-;Be-li-
be-li-li;Belili
bi-ir-tum;Birtum
bi-lu-lu;Bilulu
bi-na;meaning unknown
bi-ri-ig;wrinkle
bibad;type of duck
bibra;type of bird
bibra;type of vessel
biluda;type of ritual
bir;scatter
biz;drip
br;br
bu-du-ug;loss
bu-luḫ;shudder
bu-ud-ba-ad;rumbling noise
bu;roam
bul;shake
bulug-k;
bulug;drill
bulug;sharp object
bungu;child
buniĝ;type of container
bur-ra-;
bur-saĝ;type of shrine
bur-suen;Būr-Suen
bur-šu-um;old woman
bur;type of bowl
buranuna;Euphrates
da;
da-ab-ta;Dabta
da-ba-ri-ri;con artist
da-da-ra;put on
da-da-sig;Dadasig
da-du;Dadu
da-e-ru-a;meaning unknown
da-ga;meaning unknown
da-gal-tum;purple
da-gan;Dagan
da-mi-iq;
da-mu;Damu
da-ra;meaning unknown
da-ri;support
da-ḫa-ša;wooden cask
da;side
da;verb part of multiword verb
dabin;type of flour
dadag;bright
dag-dug;potstand
dag-si;saddle hook
dag;residence
dag;roam around
dagan;chamber
dal-ba-na;intermediate area
dal-ḫa-mun;dust storm
dal;beam
dal;fly
dalla;bright
dam-eĝer;junior wife
dam-gal-nun-na;Damgalnuna
dam-ḫa-ra;battle
dam;part of plough
dam;spouse
danna;length measure
dar;francolin
dar;split
daĝal;wide
de-ḫi;stanchion
di-bi-da;donkey
di-di-bi;Didibi
di-ir-ga;bond
di-kud;judge
di-li-bi-pi-la;bird-cry
di-til-la;completed court case
di;suit
dib;pass
dida-imĝaĝa;sweet emmer beer
dida;beer
dig-dig;soft
dili-;
dili-bad;Venus star
dili;single
dilmun;Dilmun
dim-dim;tower
dim-gal-abzu;Dim-gal-abzu
dim;post
dimgul;pole
dirig;superior
diĝir-dumu;divine son
diĝir-maḫ;Diĝir-maḫ
diĝir;deity
du-;
du-bu-ul-da-ba-al;liquid noise
du-bu-ul;stir
du-du;Dudu
du-lum;toil
du-un-nu-um;Dunnum
dub-ba-an;fence
dub-ba-an;type of stone
dub-sar-tur;junior scribe
dub-sar;scribe
dub-saĝ;front
dub-šen;treasure chest
dub;heap up
dub;tablet
dubur;horizon
dug;pot
dugud;heavy
dul;cover
dulu;plentiful
dum-dam;rumbling noise
dum-dum;roar
dumu-KA;kinship term
dumu-munus;daughter
dumu-nitaḫ;son
dumu-saĝ;first-born
dumu-zid-abzu;Dumuzid-abzu
dumu-zid-ama-ušumgal-an-na;Dumuzid-ama-ušumgal-ana
dumu-zid;Dumuzid
dumu;child
dun;dig
dun;hole
dun;profit
dun;warp
dungu;cloud
dur-an-ki;Dur-an-ki
dur-dar;type of bird
dur-ĝišnimbar;Dur-ĝišnimbar
dur;bond
dur;type of bird
dusu;earth-carrying basket
duḫ;bran mash
e-;
e-el-lu;directive expression
e-gi-zag-ga;type of stone
e-la-lu;type of exclamation
e-le-el;type of stone
e-le-lum;type of exclamation
e-lu-lam;sad song
e-lu-lu;Elulu
e-na;meaning unknown
e-ne-ne;they
e-ne;game
e-ne;noun part of multiword verb
e-re-bu-um;refugee
e-ri-ib;sister-in-law
e-ri-in;meaning unknown
e-ru;meaning unknown
e-sig;type of bird
e-su-la;E-sila
e-ta-na;Etana
e;barley
e;vocative expression
ebiḫ;Ebiḫ
edin;Edin
edin;open country
elam;Elam
ellag;ball
eme-apin-na;ploughshare
eme-sig;floor plank
eme-šid;lizard
eme-šu-ru-ug-eme-šu-ru-ug;dried palm fronds
eme;tongue
emeda;nursemaid
en-;
en-;En-
en-TUM;meaning unknown
en-X-X;En-X-X
en-X;En-X
en-am-gal-an-na;En-am-gal-ana
en-ba-tibira;En-batibira
en-ge-en;type of stone
en-inda-šurum-ma;Enindašuruma
en-ki-im-du;Enkimdu
en-ki;Enki
en-ki;Enki deities
en-lulim;En-lulim
en-me-barag-;
en-me-en-d;
en-me-en-gal-an-na;En-men-gal-ana
en-me-gal-an-na;En-me-gal-ana
en-me-nun-na;En-me-nuna
en-mu-utu-;
en-mul;Enmul
en-na-t;
en-na;as long as
en-na;as many as
en-na;extent
en-na;how long
en-nu-;
en-nun-taraḫ-an-na;En-nun-taraḫ-ana
en-sipad-zid-an-na;En-sipad-zid-ana
en-t;
en-taraḫ-an-na;En-taraḫ-ana
en-te-en;winter
en-ul;Enul
en-šakk;
en;high priest
en;lord
enegir;Enegir
engar;farmer
engiz;temple cook
engur;subterranean water
enkud;fisheries inspector
enkum;type of temple official
ensi;dream interpreter
ereš-ki-gal-la;Ereškigala
ereš;lady
eridug;Eridug
erin;cedar
esi;diorite
esi;ebony
ezen-nin-a-zu;Ezen-Ninazu
ezen;festival
eĝer;back
eš-bar;decision
eša;type of flour
ešemen;skip-rope
ešgar;female kid
eštub;type of carp
ga;
ga-a-a;
ga-an-tuš;tenant
ga-an-ze-er;flame
ga-ba-al;fight
ga-ba-ra-ḫum;despair
ga-du;door jamb
ga-eš;Gaeš
ga-ga;cream
ga-ki-si-im-ma;soured milk
ga-ki-tir;meaning unknown
ga-na;directive expression
ga-nam;moreover
ga-ra-an;bunch
ga-ra-na;meaning unknown
ga-raš;leek
ga-sur-ra;type of stone
ga-zi-in-bu;stake
ga-šum;assassin
ga;milk
gaba-ri;equal
gaba-šu-ĝar;rival
gaba;chest
gada;linen
gag-d;
gag-pan;type of arrow
gag-ti;type of arrow
gag;peg
gakkul;fermenting vat
gakkul;heart
gal-an-zu;wise
gal-di;important
gal-zu;skilful
gal;big
gala-maḫ;chief lament singer
gala-tur-ra;type of cult performer
gala;lament singer
galam;skilful
gam;bow down
gan;bearing
gan;vessel stand
ganba;market
ganzer;Ganzer
garad;
gaz;strike
gazi;mustard
gašam;craftsman
gašam;type of reed
genna;child
gi-;
gi-a-dag;type of raft
gi-bar-bar-ra;type of arrow
gi-di;type of wind instrument
gi-dirig;type of raft
gi-diš-nindan;measuring rod
gi-dub-ba;stylus
gi-dur;cord
gi-gag;pointed reed
gi-gur-da;capacity measure container
gi-gur;capacity measure
gi-il-gi-il;harness
gi-izi-eš-ta;designation of bread
gi-me-a-aš;colleague
gi-muš;punting pole
gi-nindan;measuring rod
gi-rin-ḫi-li-ba;type of stone
gi-rin;blossom
gi-rin;clear
gi-ru;meaning unknown
gi-ru;term of endearment
gi-sa;reed bundle
gi-sal;eaves
gi-sig;type of fence
gi-zi;type of reed
gi-šu-ak;type of mat
gi-šukur;type of enclosure
gi-šul-ḫi;type of reed
gi;1st
gi;reed
gi;verdict
gib;lie across
gibil;new
gidim;ghost
gig;ill
gig;wheat
gigir;Chariot constellation
gigir;chariot
gilim;intertwined
gir-bu-bu;Girbubu
gir;meaning unknown
gir;type of fish
giraba;type of fish
giriš;butterfly
gu-du;buttocks
gu-du;type of cord
gu-la;Gula
gu-nu;flax
gu-ru-um;pile
gu-ti-um;Gutium
gu-un-gu-nu-um;Gungunum
gu-za;chair
gu;thread
gub;stand
gud-;
gud-alim;Bison Bull
gud-alim;bison
gud-am;wild bull
gud-apin;plough ox
gud-dam;Gudam
gud-gal-an-na;Gud-gal-ana
gud-si-AŠ;battering ram
gud;bull
gudug;type of priest
gug-gazi;type of stone
gug-kal;famine
gug;cornelian
gug;famine
gug;tooth
gukkal;fat-tailed sheep
gul-gul;type of stone
gul-lum;cat
gul;destroy
gum;crush
gur-da;capacity measure container
gur;capacity measure
gur;turban
gur;turn
gurud;throw down
gurun;fruit
gurušta;fattener
guz;crushed
guz;tufted
i-;
i-ba-te;Ibate
i-bi-X-X;I-bi-X-X
i-bi-suen;Ibbi-Suen
i-di-bi;Idibi
i-di-il-pa-šu-nu;Īdil-pāšunu
i-dib;threshold
i-din-da-gan;Iddin-Dagan
i-din;Iddin
i-la-ak-ni-id;Ilak-ni’id
i-li-in-nu-uš;type of plant
i-lim;radiance
i-lu-AN;Ilu-AN
i-lu-lam-ma;type of song
i-lu-lu;Ilulu
i-lu;song
i-mi-tum;type of lance
i-mi;Imi
i-nanna;complaint
i-ni-ma-ba-ke-eš;Inimabakeš
i-ra-ru-um;Irarum
i-si-iš;tears
i-utu;complaint
i-zi;wave
i-šu-il;Išu-Il
i;bring out
i;vocative expression
ia-ar-la-an-gab;Yarlangab
ia-ar-la-ga-an-da;Yarlaganda
ia-ar-la-ga-aš;Yarlagaš
ia-ar-la-gab;Yarlagab
ia-ar-la;Yarla
ib-gal;Ibgal
ib-gal;temple oval
ib-ra-nu-um;Ibranum
ibila;heir
idigna;Tigris
idim;bison
idim;heavy
idim;underground water
ig-alim;Ig-alim
ig;door
igi-;
igi-bar-ra;scout
igi-gig;eye disease
igi-gub-bu;coefficient
igi-kal;scowling
igi-nim;upper land
igi-t;
igi-tab;blinkers
igi-te-en;fraction
igi-te-en;mesh
igi-šu-galam;Igi-šu-galam
igi;eye
igištu;foremost
iku;area measure
il-ta-sa-du-um;Iltasadum
ilar;throwing stick
illu;flood water
im-BU-BU;hod carrier
im-NI-saḫar;type of clay
im-ba-X-X;type of illness
im-ba-X;type of illness
im-ba-sur;type of illness
im-ba;deficit
im-babbar;gypsum
im-du-du;Imdudu
im-dug;sling pellet
im-lag;pellet
im-ma-DU;advance
im-ma-al;meaning unknown
im-ma-an;type of stone
im-ri-a;clan
im-šu;clay covering
im-ḫul;destructive storm
im;clay
im;rain
imin-šatam;Imin-šatam
imĝaĝa;emmer
in-bul-bul;chaff
in-dal;chaff
in-nam-g;
in-nin;mistress
in-nu-uš;type of plant
in-nu-ḫa;type of barley
in-nu;straw
in;abuse
in;zone
inana-ka;Inanaka
inana;Inana
inbir;conflict
indagara;Indagara
inim-inana;Inim-Inana
inim-ĝ;
inim-ĝar;utterance
inim;word
ir-;
ir-da;pigsty
ir-ni-na;Irnina
ir-pag;plot
ir-sim;fragrance
ir;exudation
ir;verb part of multiword verb
iri-bal;rebel town
iri-gibil;Iri-gibil
iri-kug;Iri-kug
iri-na-nam;Iri-nanam
iri-saĝ-an-na;iri-saĝ-an-na
iri-tuš;city dwelling
iri;town
irigal;underworld
is-ḫ;
isimud;Isimud
itid;moon
itima;chamber
iz-zi-da;side wall
iz-zi;wall
izi-ĝar;torch
izi;fire
iš-me-da-gan;Išme-Dagan
iš-me-šamaš;Išme-Šamaš
iši;peak
išib;type of priest
išin;stalk
iškila;shell
iškur;Iškur
ištaran;Ištaran
ka;
ka-al-bu-um;Kalbum
ka-al;pit
ka-aš;decision
ka-da;meaning unknown
ka-inim-ma;eloquence
ka-inim-ma;incantation formula
ka-ku-la-tum;Kakkulatum
ka-lu-mu-um;Kalūmum
ka-luḫ;ritual cleansing
ka-tab;helper
ka-zal-lu;Kazallu
ka;mouth
kab;nose rope
kabar;junior shepherd
kadra;greeting gift
kal;rare
kalag-ga;type of stone
kalag;strong
kalam;the Land
kam;tune
kar-a-sar;Kar-asar
kar-zid-da;Kar-zida
kar-ĝeštin-na;Kar-ĝeština
kar;flee
kar;quay
karkara;Karkara
kaskal;way
kaš;beer
kašbir;diluted beer
ki;
ki-TAR;meaning unknown
ki-a-naĝ;libation place
ki-abrig;Ki-abrig
ki-bal;rebel land
ki-e-ne-di;play area
ki-en-DU;watercourse
ki-en-gi;Sumer
ki-eš-bar;decisions
ki-gal-lum;pedestal
ki-gal;pedestal
ki-gub;location
ki-gul-la;destitute person
ki-ib;type of bird
ki-in-da-tu;Kindattu
ki-in-dar;crevice
ki-in-du;earth
ki-iz-ru-um;band of soldiers
ki-izi;brazier
ki-kid;place of mat
ki-lul-la;place of iniquity
ki-luḫ;meaning unknown
ki-maš;Kimaš
ki-maḫ;grave
ki-naĝ;libation place
ki-nir-ša;Kinirša
ki-s;
ki-saḫar;soil deposit
ki-sikil;young woman
ki-sur-ra;territory
ki-ta;lower
ki-tuš;dwelling place
ki-ub;corner of earth
ki-um;
ki-uri;Akkad
ki-ĜAR.KA;cult place of Suen
ki-ĝar-ra;substitute
ki-ĝar;area
ki-ĝiš-ĝiš-;
ki-še-er;limit
ki-šu-peš;cult place
ki-šu-tag;cult place
ki-šu;cult place
ki-šub-ba;waste ground
ki;ki
ki;place
ki;plaše
kid-;
kid-aš-X;type of mat
kid-aš-rin;type of mat
kid-da;interwoven object
kid-maḫ-ḫal;type of mat
kid-maḫ;type of mat
kid;mat
kin-gal-ud-da;Kin-gal-uda
kinda-zid;Kinda-zid
kindagal;type of official
kingal;leader
kinkin;grindstone
kirid;hair clasp
kisal-luḫ;courtyard sweeper
kisal;courtyard
kisiga;Kisiga
kisim;soured milk
kislaḫ;uncultivated land
kiš-gag;pole pin
kiš;Kiš
kiš;totality
kišib-ĝ;
kišib;cylinder seal
kišib;hand
ku-ba-tum;Kūbatum
ku-bu-ul-lum;type of food
ku-li-an-na;Mermaid
ku-mul;cumin
ku-nu;close
ku-ru-um;Kurum
ku-ul-;Ku-ul-
ku;lay down
kuara;Kuara
kud-da;Kuda
kud;cut
kug-an;meteoric iron
kug-babbar-d;
kug-babbar;silver
kug-dun;profit
kug-me-a;bright metal
kug-nanna;Kug-Nanna
kug-nun-na;Kug-nuna
kug-zu;wise
kug;precious metal
kug;shining
kul-aba;Kulaba
kul;hasten
kul;peck
kul;shaft
kun-s;
kun-saĝ;monumental stairway
kun-zid;type of fish
kun-ĝar;type of composition
kun;tail
kunga;mule
kur-;
kur-bal;overseas country
kur-erin-kud;Mountain-of-cedar-felling
kur-ga-ra-nu-um;type of stone
kur-gam-ma-bi;Kurgamabi
kur-ku;flow
kur-ku;set in motion
kur-ra-šu-;
kur-ra;Kura
kur-zag;mountain border
kur-ĝar-ra;type of cult performer
kur-šu-na-bu;
kur;land
kurun;type of beer
kuš;skin
kušu;livestock
la;
la-ba-a’-šum;Lā-ba’šum
la-bi;term of endearment
la-ga;criminal
la-i-bu-um;La’ibum
la-ra-ag;Larag
la-ra-aḫ;dire straits
la-ḫa-ma;beneficent sea creature
la;plenty
lag;lump
lagab;make clod
lagab;slab
lagar;type of priest
lagaš;Lagaš
lal;small
lam;flourish
lamma;guardian deity
larsam;Larsam
laḫtan;vat
le-um;board
li-im-er;Limer
li-li-;
li-li-a;offspring
li-li-bi-sig;stork
li-li;type of plant
li;fine
li;joyful
li;juniper
lib;meaning unknown
lib;silence
libir;old
ligidba;spurge
ligima;shoot
lil;fool
lillan;ripe seed
lipiš-gig;type of illness
lipiš-tuku;furious
lipiš;inner body
lirum;clutching
lu-bi;term of endearment
lu-bu-uš-tum;clothing
lu-lu-bu-na;offspring
lu-ḫu-um;mud
lu;abundant
lub-bi;type of axe
lug-;
lugal-SI.NAM.SAR;Lugal-SI.NAM.SAR
lugal-b;
lugal-en-nu-iri-kug-ga-kam;Lugal-ennu-Iri-kugakam
lugal-gaba-ĝar;Lugal-gabaĝar
lugal-ibila;Lugal-ibila
lugal-igi-ḫuš;Lugal-igi-ḫuš
lugal-ki-b;
lugal-ki-s;
lugal-kur-d;
lugal-me-l;
lugal-nesaĝ-e;Lugal-nesaĝe
lugal-ur-e;Lugal-ure
lugal-š;
lugal-šuba;Lugal-šuba
lugal-šubur;Lugal-Šubur
lugal;Lugal
lugal;king
lugud;pus
lukur;type of priestess
