akk;en
barag2;spread out
barag;dais
bulug;sharp object
buluĝ3;flourish
bur12;tear out
bur2;release
buranuna;Euphrates
buru14;harvest
buru3;penetrate
buru5;sparrow?
dab5;seize
dadag;bright
dag;residence
dam-gal-nun-na;Damgalnuna
dam;spouse
dar;francolin?
daĝal;wide
de2;pour
de5;collect
de6;carry
di-kud;judge
di4-di4;small
di;suit
dib;pass
dili;single
dilmun;Dilmun
dim2;create
dim;post
dimgul;pole
dirig;superior
diĝir;deity
du-lum;toil
du3;erect
du6;mound
du7;perfect
du7;push
du8-ši-a;quartz?
du8;spread
dub-sar;scribe
dub2;tremble
dub3;knee
dub;heap up
dug3;good
dug4;say
dul;cover
dumu-saĝ;first-born
dumu-zid-ušumgal-an-na;Dumuzid-ušumgal-ana
dumu;child
dun5;rock
dun;dig
dun;warp
dungu;cloud
duru5;wet
dusu;earth-carrying basket
e-lu-lam;sad song
e-ne;game
e2-an-na;E-ana
e2-engur-ra;E-engura
e2-gal;palace
e2-gun2;storeroom
e2-kur;E-kur
e2-mi2;woman\'s estate
e2-suḫur;summit shrine
e2;house
e3;go out or in
e5;princely
ed3;go down or up
edin;open country
eg2;embankment
elam;Elam
eme;tongue
en-bi2-lu-lu;Enbilulu
en-ki-im-du;Enkimdu
en-ki;Enki
en-lil2;Enlil
en-na;as long as
en-sa6-ag;Ensag
en3;noun part of multiword verb
en;lord
engar;farmer
engur;subterranean water
enkud;fisheries inspector
enkum;type of temple official
ensi2;ruler
er2;tear
eridug;Eridug
erin2;yoke
erin;cedar
esi;diorite?
esi;ebony?
ezen;festival
ezina2;Ezina
eĝer;back
eš-bar;decision
eš2;rope
eš3;shrine
ešgiri2;staff
eštub;type of carp
ga-na;directive expression
ga-ra-an;bunch
ga-raš;leek
ga;milk
gaba-ĝal2;forceful
gaba;chest
gabu2;left
gada;linen
gal-zu;skilful
gal4-la;female genitals
gal;big
galam;skilful
gam3-gam3;diving water bird
gam;bow down
gan;bearing
gana2;field
gara2;cream
gen6;firm
gi-diš-nindan;measuring rod
gi-dur;cord
gi-gun4-na;temple terrace
gi-muš;punting pole
gi-zi;type of reed
gi4-bi;2nd
gi4;return
gi;1st
gi;reed
gib;lie across
gid2;long
gig-zid2;type of crop
gig2;black
gig;ill
gigir;Chariot constellation
gir16;type of container
gir5;slip in or through
giri17-zal;joy
giri17;nose
gu-du;type of cord
gu-nu;flax
gu-za;chair
gu2-gal-la;chickpea?
gu2-gal;foremost
gu2-nida;hulled barley
gu2;entirety
gu2;neck
gu3;voice
gu5-li;friend
gu7;eat
gu;thread
gub;stand
gud3;nest
gud;bull
gug;cornelian
gul;destroy
gun2;weight measure
gun3;multicoloured
gur4;thick
gur8-u6;wooden object
gur;turn
guru3;bear
guru7-du6;type of grain heap
guru7-maš;type of grain heap
guru7;heap
gurun;fruit
guz;tufted
i-lu-lam-ma;type of song
i-lu;song
i-zi;wave
i3-ne-eš2;now
i3-ḫe-nun-na;type of oil
i3;fatty substance
i;bring out
id2;watercourse
idigna;Tigris
idim;heavy
igi-gig;eye disease
igi-nim;upper land
igi;eye
iku;Field constellation
il2;raise
im-ma-an;type of stone
im;clay
im;rain
in-nin;mistress
in-nu-ḫa;type of barley
in;zone
inana;Inana
inim-ĝar;utterance
inim;word
iri;town
irigal;underworld
isimud;Isimud
itid;moon
iškur;Iškur
ka-aš;decision
ka-mu7-ĝal2;incantation priest
ka5-a;fox
ka;mouth
kab2;gauge
kad4;bind together
kal;rare
kalag;strong
kalam;the Land
kar2;blow
kar;flee
kar;quay
kaskal;way
kaš4;run
kaš;beer
keše2;bind
ki-en-DU;watercourse
ki-en-gi;Sumer
ki-gub;location
ki-nu2;sleeping quarter
ki-sikil;young woman
ki-tuš;dwelling place
ki-ur3;foundation
ki-šar2;totality
ki;place
kir3-kir3;nip off
kiri6;orchard
kirid;hair clasp
kisal;courtyard
kislaḫ;uncultivated land
kiĝ2-sig;late afternoon meal
kiĝ2;seek
kiĝ2;work
kišib-ĝal2;seal bearer
ku3-ĝal2;canal inspector
ku6;fish
ku7-ku7;sweet
ku;lay down
kud;cut
kug-babbar-dim2;silversmith
kug-babbar;silver
kug-sig17;gold
kug;precious metal
kug;shining
kul-aba;Kulaba
kulla;Kulla
kun-saĝ;monumental stairway
kun;tail
kur-ku;flow
kur-ku;set in motion?
kur-šag4;centre of mountain
kur2;different
kur9;enter
kur;land
kurku2;desire
kurum6;food ration
kurun;type of beer
kuš2;tired
la-ḫa-ma;beneficent sea creature
la2;hang
lal3;syrup
larsam;Larsam
li;fine
li;juniper
lib;silence
lil;fool
lipiš;inner body
lu2-kar-ra;fugitive
lu2-tur;child
lu2;person
lu;abundant
lugal;king
lul;false
lulim;red deer?
ma-an-ga-ra;burin
ma-da;land
ma-nu;ash?
ma2-gan;Magan
ma2-gi4-lum;type of boat
ma2-gur8;processional boat
ma2-laḫ5;boatman
ma2;boat
mar-tu;Martu
mar-ḫa-ši;Marḫaši
maš2-anše;animals
maš2;goat
maḫ-di;illustrious
maḫ;majestic
me-a;where
me-dim2;articulation
me-lem4;radiance
me-luḫ-ḫa;Meluḫa
me-te-ĝal2;seemly
me-te;attribute
me-teš2;praise
me3;battle
me;be
me;essence
men;diadem
meš3;type of tree
mi2;care
mu2;grow
mu7-mu7;incantation
mu7;make noise
mu;name
mu;year
mud;create
mug;low quality wool
munu4;malt
munus;woman
mur10;dress
mur;lung
murgu;back
murub4;middle
mussa;male relative-by-marriage
muš-dam-ma;Mušdama
muš;snake
mušen;bird
na-gada;herdsman
na-me;any
na-su8;meaning unknown
na4;stone
na;advice
na;smoke?
nagga;tin
nam-NIR.PA;marriage
nam-dub;writing
nam-en;office
nam-erim2;oath
nam-galam;skilfulness
nam-išib;type of priestcraft
nam-kug-zu;wisdom
nam-lu2-ulu3;humanity
nam-lugal;kingship
nam-maḫ;majesty
nam-munus;femininity
nam-nar;musician\'s craft
nam-sipad;shepherd\'s craft
nam-tar;Namtar
nam-tar;destiny
nam-til3;life
nam-ur-saĝ;heroism
nam-ĝu10;what is it to me
nam-šub;incantation
nam-ḫe2;abundance
nam;destiny
namma;Namma
nanna;Nanna
nanše;Nanše
nar;musician
naĝ;drink
ne-en;this
ne3;strength
ne;noun part of multiword verb
ni2;fear
ni2;self
nibru;Nibru
nin-a-zu;Ninazu
nin-barag;Ninbarag
nin-dar-a;Nindara
nin-gal;Ningal
nin-giri17-u3-tud;Ningiriutud
nin-gun3-na;Ninguna
nin-imma3;Ninimma
nin-isin2-na;Ninisina
nin-ka-si;Ninkasi
nin-kur-ra;Ninkura
nin-ma-da;Ninmada
nin-maḫ;Ninmaḫ
nin-mug;Ninmug
nin-nisig;Ninnisig
nin-sikil-la;Ninsikila
nin-ti;Ninti
nin-tur5;Nintur
nin-ĝiš-zid-da;Ninĝišzida
nin-ḫur-saĝ-ĝa2;Ninḫursaĝa
nin9;sister
nin;lady
ninda;bread
ninkum;type of priest
nir-gam-ma;vault
nir-ĝal2;authoritative
nir;winnow
nisaba;Nisaba
nitaḫ;male
niĝ2-ba;gift
niĝ2-daĝal;vastness
niĝ2-gur11;possessions
niĝ2-keše2;band
niĝ2-me-ĝar;silence
niĝ2-mussa;betrothal gift
niĝ2-nam;anything
niĝ2-ĝir2;lightning bolt
niĝ2;thing
niĝin2;go around
niĝir-sig7;Niĝir-sig
niĝir;herald
nu-banda3;overseer
nu-dim2-mud;Nudimmud
nu-kiri6;gardener
nu-mu-un-su;widow
nu-u8-gig;high-status woman
nu2;lie down
numun2;alfalfa
numun;seed
nun;prince
pa5;canal
pa;branch
pad3;find
palil;foremost
pap;older brother
peš-bal-gi;6th
peš-bi;3rd
peš-gi;4th
peš-peš-gi;5th
peš10-ĝal2;mighty?
peš5-peš5;anoint
peš;thick
piriĝ;lion
pu2;hole
ra;beat
re;that
ri;direct
rig7;bestow
sa-par4;type of net
sa-zid2;type of crop
sa2;equal
sa4;call
sa;sinew
sag2;scatter
sag3;beat
sag9;good
saman;tethering rope
sar;run
saĝ-du;head
saĝ-gig;headache
saĝ-men;type of crown
saĝ5;choose
saĝ;head
saḫar;earth
si-dug4;hollow
si-il;split apart
si-par4;type of implement
si-ĝar;clamp
si;brilliance
si;fill
si;horn
sig10;place
sig5;fine
sig7;green
sig9;put
sig;low
siki;hair
sikil;pure
sila3-ĝar-ra;bowl for afterbirth
sila4;lamb
sila;street
silig;cease
silig;forceful
silim;healthy
sipad;shepherd
sirara6;Sirara
sirsir;Sirsir
sis;bitter
su-ub;rub
su;flesh
sud;distant
suen;Suen
sug4;full
sukkal;minister
sumun;old
sun4;beard
sur12;threshing floor
sur;drip
suḫ10-gir11;diadem
suḫ10;crown
suḫ3;blur
suḫur-maš2;type of carp
suḫur;type of carp
tab2;burn
tab;parallel
tag;touch
taka4;leave behind
tar;cut
taraḫ;wild goat
taḫ;add
te;approach
temen;foundation
ten;extinguish
teš2;unity
ti;rib
tibira;coppersmith
tigi;type of instrument and composition
til3;live
til;complete
tir-an-na;rainbow
tir;forest
tiru;courtier
tu-lu;loose
tu-tu;approach
tu-uk-ri-iš;Tukriš
tu11;strike down
tu5;wash
tud;give birth
tug2;garment
tuku;have
tukul;weapon
tum12;pigeon
tur3;animal stall
tur;small
tuš;sit
u2-a;provisioner
u2-lal3;type of plant
u2-numun;type of grass
u2-sar-ra;type of plant
u2-ĝiš;type of plant
u2-šim;greenery
u2;plant
u3-na;aggression
u3-šub;brick mould
u3;sleep
u4-mu-ul;sickly creature
u5;pelican?
u5;ride
u6;overview
u6;wonder
u8;ewe
ud5;goat
ud;day
ud;storm
udu;sheep
uga;raven
ugu-dilim2;top of head
ugu;skull
ukuš2;cucumber
ul;swell
um-ma;experienced woman
umun2;knowledge source
unken;assembly
unu2;hall
unu2;jewellery
unud;herdsman
unug;Unug
ur-bar-ra;wolf
ur-gir15;domestic dog
ur-gu-la;lion
ur-saĝ;hero
ur2;root
ur3;roof
ur4;collect
ur5;that
urim2;Urim
urin;standard
uru16;towering
urud;copper
us2;adjacent
usu;strength
uttu;Uttu
utu;Utu
uz-ga;type of shrine
uz3-saĝ;bond
uĝ3;people
uš-bar;weaver
uš2;die
uš;foundation
ušumgal;type of serpent
za-gin3;lapis lazuli
za-lam-ĝar;Tent-land
za3-mi2;praise
za;you
zabar;bronze
zag-še;shoulder
zag;side
zal;pass
zar;sheaf
ze2-er;tear out
zi-pa-aĝ2;throat
zi;life
zid;right
zig3;rise
zu2-lum;date
zu2;tooth
zu;know
zulumḫi;long fleece
ĜA2;ĜA2
ĝal2;
ĝal2;open
ĝar;place
ĝarza;rite
ĝe26;I
ĝen;go
ĝeštin;grape
ĝeštug2;ear
ĝi6;night
ĝidru;sceptre
ĝiri2-tab;scorpion
ĝiri2-zu2-gal-la;flint
ĝiri3-ma-an;basin
ĝiri3;foot
ĝisal;oar
ĝissu;shade
ĝizzal;hearing
ĝiš-ab-ba;type of tree
ĝiš-gana2;birch?
ĝiš-gi;reedbed
ĝiš-nu11;light
ĝiš3;penis
ĝiš;tree
ĝišbun;meal
ĝišnimbar;date palm
ĝuruš;young man
ŠAR.ŠAR.GABA;ŠAR.ŠAR.GABA
šag4-gada-la2;type of priest
šag4-tum2;meadow
šag4;heart
šakir3;churn
šakkan2;Šakkan
šar2;mix
šar2;numerous
šar2;perfect?
šaḫ2;pig
še-er-ka-an;adornment
še-er-zid;radiance
še-eštub;spring barley
še-ĝiš-i3;sesame
še;barley
šeg11;loud noise
šeg12;brick
šeg9-bar;fallow deer?
šeg9;wild sheep?
šem3;type of drum
šembi2-zid;kohl
šen;combat
šeĝ3;rain
šeĝ6;hot
šeš-gal;elder brother
šeš2;weep
šeš;brother
šibir;shepherd\'s crook
šid;count
šidim;builder
šilam;cow
šir3;song
šu-luḫ;ritual cleansing
šu-min3;hammerstone?
šu-niĝin2;total
šu-zi-an-na;Šu-zi-ana
šu2;cover
šu;hand
šub;fall
šuba;agate?
šudu3;prayer
šudul;yoke
šul;young man
šum2;give
ḪA.IB;type of fish?
ḪA;ḪA
ḪAR;ḪAR
ḪI.SUḪUR;type of carp
ḫa-ad;shine
ḫa-ia3;peacock
ḫa-lam;lost
ḫa-ra-li;Ḫarali
ḫa-šu-ur2;type of cypress
ḫal-an-kug;Ḫal-an-kug
ḫal;divide out
ḫaš2;thigh
ḫašḫur;apple
ḫe-nun;abundance
ḫe2-am3;be it
ḫe2-du7;ornament
ḫe2-ĝal2;plenty
ḫenbur;shoot
ḫi-li;attractiveness
ḫul2;happy
ḫul;bad
ḫuluḫ;frightened
ḫum;snap off
ḫur-saĝ;mountain
ḫuš;reddish
…;…
e-ne;he
e-ne; she
ni2-te-a-ni;himself
ni2-te-a-ni; herself
