akk;en
 kur tu-/uk-ri-iš\^ki- kug-sig17 ḫa-ra-li  ^na4-za-gin3 [X X] X-ga ḫu-mu-ra-bal-bal-[e]  kur me-luḫ-ḫa^ki- ^na4-gug niĝ2  kal-la  ^ĝiš-meš3 šag4-gan ĝiš-ab-ba sig5-ga  ma2 gal-gal ḫu-mu-ra-ab-sa2  kur mar-ḫa-ši^ki- na4 kal-la ^na4-/du8\-[ši-a]  gaba ḫu-mu-ra-ab-[X]  kur ma2-gan^ki- urud niĝ2 kalag-ga usu-[(X)]  ^na4-esi ^na4-U ^na4-šu-min3 ḫu-mu-[X]  kur ab-ba^ki--ke4 ^ĝiš-esi me-te-/bi\ [X] lugal-la ḫu-mu-ra-ab-[X (X)]  kur za-lam-ĝar^ki- siki gun3(source: IŠ) sag9-ga [X] ḫu-mu-ra-ab-[X]  kur elam^ki--ma siki igi saĝ5 gu2-/un\-[gu2-un] ḫu-mu-ra-ab-bal-[bal-e]  eš3 urim2^ki- barag nam-lugal-la iri/^ki-\ […]  še-i3-ĝiš tug2 maḫ tug2 sig5 ma2 gal-[gal] ḫu-mu-ra-ab-[sa2]  a-ab-ba daĝal-la ḫe2-ĝal2-bi ḫu-/mu\-[…] ;" ""May the land of Tukriš hand over to you gold from Ḫarali, lapis lazuli and ……. May the land of Meluḫa load precious desirable cornelian, meš wood of Magan and the best abba wood into large ships for you. May the land of Marḫaši yield you precious stones, topazes. May the land of Magan offer you strong, powerful copper, dolerite, u stone and šumin stone. May the Sea-land offer you its own ebony wood, …… of a king. May the 'Tent'-lands offer you fine multicoloured wools. May the land of Elam hand over to you choice wools, its tribute. May the manor of Urim, the royal throne dais, the city ……, load up into large ships for you sesame, august raiment, and fine cloth. May the wide sea yield you its wealth."""
 iri^ki- «tuc» ki-tuš-bi ki-tuš dug3-/ga\-[am3]  dilmun^ki- ki-tuš-bi ki-tuš dug3-/ga\-[am3]  še-bi še di4-di4-la2-[am3]  zu2-lum-bi zu2-lum gu-ul-/gu\-[la]  buru14-bi 3-am3 […]  ĝiš-bi ĝiš X X […] ; The city's dwellings are good dwellings. Dilmun's dwellings are good dwellings. Its grains are little grains, its dates are big dates, its harvests are triple ……, its wood is …… wood.
 i3-ne-eš2 ^d-utu ud ne-a  ^d-utu an-na gub-be2-e  gir16 DU-a gaba EZEN^ki--na-ta  /e2\-suḫur si ^d-nanna-a-ta ; At that moment, on that day, and under that sun, when Utu stepped up into heaven, from the standing vessels on Ezen's shore, from Nanna's radiant high temple, from the mouth of the waters running underground, fresh waters ran out of the ground for her.
" ĝiri3-[ma-an] gal-la-na a im-ta-ed3-de3  iri-ni a ḫe2-ĝal2-la im-ta-na8-na8  dilmun^ki- a ḫe2-&lt;ĝal2-la im-ta-na8-na8>  pu2 a sis-a-ni <pu2> a dug3-ga na-nam  a-šag4 a-gar3 ab-sin2-a-ni še mu-na-ab-/X-šum2^?-\  iri-ni e2-gun2 kar-ra kalam-ma-ka na-nam  dilmun^ki- e2-gun2 <kar-ra kalam-ma-ka na-nam>  i3-ne-eš2 ^d-utu ud ne-a ur5 ḫe2-na-nam-ma "; The waters rose up from it into her great basins. Her city drank water aplenty from them. Dilmun drank water aplenty from them. Her pools of salt water indeed became pools of fresh water. Her fields, glebe and furrows indeed produced grain for her. Her city indeed became an emporium on the quay for the Land. Dilmun indeed became an emporium on the quay for the Land. At that moment, on that day, and under that sun, so it indeed happened.
  dili-ni  ( TAR) ĝeštug2-ge tuku-a ^d-nin-tur5 ama kalam-ma-še3  ^d-en-ki-ke4 ĝeštug2-ge tuku-a ^d-nin-tur5 <ama kalam-ma-še3>  ĝiš3-a-ni eg2-a ba-an-ši-in-dun-e  ĝiš3-a-ni gi-a gir5-gir5-e ba-an-ši-gir5-gir5-e  ĝiš3-a-ni bar-še3 maḫ-ḫe ša-ba-ra-an-zi-zi  gu3 bi2-in-de2 ambar-ra lu2 nu-mu-un-dab-be2 ;" All alone the wise one, toward Nintur, the country's mother, Enki, the wise one, toward Nintur, the country's mother, was digging his phallus into the dykes, plunging his phallus into the reedbeds. The august one pulled his phallus aside and cried out: ""No man take me in the marsh."""
 ^d-en-ki-ke4 gu3 bi2-in-de2  zi an-na i3-pad3  nu2-a ambar-ra nu2-a ambar-ra giri17-zal  ^d-en-ki-ke4 a ^d-dam-gal-nun-na-ka-ni mi-ni-in-dug4  ^d-nin-ḫur-saĝ-ĝa2-ke4 a šag4-ga ba-ni-in-ri  a šag4-ga šu ba-ni-in-ti a ^d-en-ki-ka3-ka ;" Enki cried out: ""By the life's breath of heaven I adjure you. Lie down for me in the marsh, lie down for me in the marsh, that would be joyous."" Enki distributed his semen destined for Damgalnuna. He poured semen into Ninḫursaĝa's womb and she conceived the semen in the womb, the semen of Enki."
 ud 1-am3 itid 1-a-ni  ud 2-am3 itid 2-a-ni  ud 3-am3 itid 3-a-ni  ud 4-am3 itid 4-a-ni  ud 5-am3 itid 5-a-ni  ud 6-am3 itid 6-a-ni  [ud] 7-am3 itid 7-a-ni  [ud] 8-am3 <itid 8-a-ni>  [ud] 9-am3 itid 9-a-ni itid nam-munus-a-ka  [i3 li-gin7 i3] li^?--gin7 i3-ḫe-nun-na-gin7  [^d-nin-tur5] ama kalam-ma-ka  [i3 li-gin7]  [^d-nin-nisig] in-tu-ud ; But her one month was one day, but her two months were two days, but her three months were three days, but her four months were four days, but her five months were five days, but her six months were six days, but her seven months were seven days, but her eight months were eight days, but her nine months were nine days. In the month of womanhood, like fine oil, like fine oil, like oil of abundance, Nintur, mother of the country, like fine oil, gave birth to Ninnisig.
" ^d-nin-nisig gu2 id2-da-ke4 še3-mi-ni-ib-e3^?-  ^d-en-ki-ke4 ambar-ra im-da-la2 e-ne im-da-la2 e-ne  sukkal-a-ni ^d-isimud4-de3 gu3 mu-na-de2-e  lu2-tur sag9-ga-e   ^d-nin-nisig sag9-ga-e   sukkal-a-ni ^d-isimud4-de3 mu-na-ni-ib-gi4-gi4  lu2-tur sag9-ga-e   ^d-nin-nisig sag9-&lt;ga-e >  lugal-ĝu10 im-dirig ga-ri im-dirig ga-ri ";" In turn Ninnisig went out to the riverbank. Enki was able to see up there from in the marsh, he was able to see up there, he was. He said to his minister Isimud: ""Is this nice youngster not to be kissed? Is this nice Ninnisig not to be kissed?"" His minister Isimud answered him: ""Is this nice youngster not to be kissed? Is this nice Ninnisig not to be kissed? My master will sail, let me navigate. He will sail, let me navigate."""
" ĝiri3-ni 1-a ^ĝiš-ma2-a bi2-in-gub  2-kam-ma bar-rim4-ma nam-mi-in-gub  gaba im-ma-an-tab   ^d-en-ki-ke4 a šag4-ga ba-ni-in-ri  a šag4-ga šu ba-ni-in-ti a ^d-en-ki-ka3-ka  ud 1-am3 itid 1-am3  ud 2-am3 itid 2-am3  ud 9-am3 itid 9-am3 itid nam-munus-a-ka  i3 li^?--[gin7 i3] li^?--gin7 i3-ḫe-nun-na-gin7  [^d-nin-nisig i3] /li^?-\-&lt;gin7 i3 li-gin7 i3-ḫe-nun-na-gin7>  ^d-nin-[kur-ra] in-tu-ud "; First he put his feet in the boat, next he put them on dry land. He clasped her to the bosom, kissed her, Enki poured semen into the womb and she conceived the semen in the womb, the semen of Enki. But her one month was one day, but her two months were two days, but her nine months were nine days. In the month of womanhood, like fine oil, like fine oil, like oil of abundance, Ninnisig, like fine oil, like fine oil, like oil of abundance, gave birth to Ninkura.
 ^d-nin-kur-/ra\ [gu2 id2-da-ke4 še3-mi-ni-ib-e3]  ^d-en-ki-ke4 ambar-ra im-[da-la2 e-ne im-da-la2 e-ne]  sukkal-a-ni ^d-isimud4-de3 [gu3 mu-na-de2-e]  lu2-tur sag9-ga-e ]  ^d-nin-kur-ra sag9-ga-e   sukkal-a-ni ^d-isimud4-de3 mu-na-ni-ib-gi4-gi4  lu2-tur sag9-ga-e   ^d-nin-kur-ra sag9-ga-e   lugal-ĝu10 im-dirig ga-ri im-dirig ga-ri ;" In turn Ninkura went out to the riverbank. Enki was able to see up there from in the marsh, he was able to see up there, he was. He said to his minister Isimud: ""Is this nice youngster not to be kissed? Is this nice Ninkura not to kissed?"" His minister Isimud answered him: ""Kiss this nice youngster. Kiss this nice Ninkura. My master will sail, let me navigate. He will sail, let me navigate."""
" ĝiri3-ni 1-a ^ĝiš-ma2-a bi2-in-gub  2-kam-ma bar-rim4-ma nam-mi-in-gub  gaba im-ma-an-tab   ^d-en-ki-ke4 a šag4 ba-ni-in-ri  a šag4-ga šu ba-ni-in-ti a ^d-en-ki-ka3-ka  ud 1-am3 itid 1-a-ni  ud 9-am3 itid 9-a-ni itid nam-munus-a-[ka]  i3 li^?--gin7 i3 li^?--gin7 i3-ḫe-nun-[na-gin7]  ^d-nin-kur-ra i3 li^?--&lt;gin7 i3 li-gin7 i3-ḫe-nun-na>  ^d-uttu munus NI-buluĝ3 in-[tu-ud] "; First he put his feet in the boat, next he put them on dry land. He clasped her to the bosom, kissed her, Enki poured semen into the womb and she conceived the semen in the womb, the semen of Enki. But her one month was one day, but her nine months were nine days. In the month of womanhood, like fine oil, like fine oil, like oil of abundance, Ninkura, like fine oil, like fine oil, like oil of abundance, gave birth to Uttu, the exalted woman.
" ^d-nin-kur-ra ^d-nin-imma3 ši-im-/ma\-[an-tu-ud]  lu2-tur i3-buluĝ3-e ul im-ma-an-[ti]  ^d-nin-imma3 gu2 id2-da-kam /še3\-em-mi-[…]  ^d-en-ki-ke4 ma2-ta im-ta-gid2-de3 im-da-la2 X […]  ^d-nin-imma3 gu2 id2-da-kam igi <im&gt;-ma-ni-in-X-[…]  sukkal-a-ni ^d-isimudx(ENKUM)-ra gu3 mu-na-/de2\-[e]  lu2-tur sag9-ga-gin7 ĝe26-e   ^d-nin-imma3 sag9-ga-gin7 ĝe26-e ĝiš3 nam-in-du3  sukkal-a-ni ^d-isimudx(ENKUM)-e mu-na-ni-ib-gi4-gi4  lugal-ĝu10 i-im-dirig ga-ri i-im-dirig ga-ri ";" Ninkura in turn gave birth to Ninimma. She brought the child up and made her flourish. Ninimma in turn went out to the riverbank. Enki was towing his boat along and was able to see up there, ……. He laid eyes on Ninimma on the riverbank and said to his minister Isimud: ""Have I ever kissed one like this nice youngster? Have I ever made love to one like nice Ninimma?"" His minister Isimud answered him: ""My master will sail, let me navigate. He will sail, let me navigate."""
 ĝiri3-ni 1-am3 ma2-a bi2-gub  2-kam-ma-am3 bar-rim4-ma u3-bi2-gub  gaba šu im-mi-in-dab5 ur2-ra-na nu2-a  lu2-tur ĝiš3 im-mi-in-dug4 ]  ^d-en-ki-ke4 ^d-nin-imma3 a šag4 mu-ni-in-ri  a šag4-ga šu ba-ni-in-ti a ^d-en-ki-ka3-kam ; First he put his feet in the boat, next he put them on dry land. He clasped her to the bosom, lying in her crotch, made love to the youngster and kissed her. Enki poured semen into Ninimma's womb and she conceived the semen in the womb, the semen of Enki.
 munus-e ud 1-bi itid 1-bi na-nam  ud 2-bi itid 2-/bi\ na-nam  ud 3-bi itid 3-/bi\ na-nam  ud 4-bi itid 4-[bi] na-nam  ud 5-bi itid 5-/bi\ na-nam  ud 6-bi itid 6-/bi\ na-nam  [ud 7]-/bi\ itid 7-bi na-nam  [ud 8-bi] itid 8-bi [na]-nam  [ud 9-bi] itid nam-munus-a-ni /na-nam\  [i3 li-gin7 i3 li]-gin7 i3-ḫe-nun-na-gin7  [^d-nin-imma3 i3 li-gin7] i3-ḫe-nun-na-/gin7\  [^d-uttu munus NI-buluĝ3 in-tu-ud] ; To the woman its one month was but its one day, its two months were but its two days, its three months were but its three days, its four months were but its four days, its five months were but its five days, its six months were but its six days, its seven months were but its seven days, its eight months were but its eight days, and at its nine days, in the month of womanhood, like fine oil, like fine oil, like oil of abundance, Ninimma, like fine oil, like oil of abundance, gave birth to Uttu, the exalted woman.
 ^d-nin-tur5-re ^d-uttu-[ra] gu3 mu-na-de2-[e]  na ga-e-de5 na de5-ĝu10 [ḫe2-e-dab5]  inim ga-ra-ab-dug4 inim-ĝu10-[še3 ĝeštug2-zu]  lu2 1-am3 ambar-ra im-da-la2 [e-ne <im-da-la2 e-ne>]  ^d-en-ki-ke4 ambar-ra im-[da-la2 e-ne <im-da-la2 e-ne>]  igi im-X X […]  […] X […]  [… ^d-uttu] munus NI-buluĝ3 X X […]  […] X X […]  […] X X X A NA X […]  […] X X X šag4^?--za […] ;" Nintur said to Uttu: ""Let me advise you, and may you take heed of my advice. Let me speak words to you and may you heed my words. From in the marsh one man is able to see up here, is able to see up here, he is; from in the marsh Enki is able to see up here, is able to see up here, he is. He will set eyes on you."" 10 lines fragmentary …… Uttu, the exalted woman …… 3 lines fragmentary"
 [ukuš2 sur-ra-X] de6-um  /^ĝiš-ḫašḫur\ [gu ul-ul]-ba de6-um  ^ĝiš-ĝeštin ga-ra-an-ba de6-um  e2^?--a saman2-ĝu10 ḫe2-dab5  ^d-en-ki-ke4 saman2-ĝu10 ḫe2-bi2-in-dab5 ;"  ""Bring cucumbers in ……, bring apples with their stems sticking out , bring grapes in their clusters, and in the house you will indeed have hold of my halter, O Enki, you will indeed have hold of my halter."""
 2-kam-ma a si-si-da-ni  eg2 a bi2-in-si  pa5 a bi2-in-si  kislaḫ a bi2-in-si  nu-^ĝiš-kiri6 saḫar^?--ra ḫul2-a-na bi2-[…]  gu2-ni gu2-da im-ši-in-la2-[e-de3]  a-ba-me-en ^ĝiš-kiri6 […] ;" When he was filling with water a second time, he filled the dykes with water, he filled the canals with water, he filled the fallows with water. The gardener in his joy rose from the dust and embraced him: ""Who are you who …… the garden?"""
 ^d-en-ki-ke4 nu-^ĝiš-kiri6-[…]  [ukuš2 sur-ra-na] im-ma-/na\-[an-de6]  ^ĝiš-ḫašḫur gu ul-ul-ba im-ma-na-an-de6  ^ĝiš-ĝeštin ga-ra-an-ba im-ma-na-an-de6 ur2-ra-ni bi2-in-si-si ; Enki …… the gardener: 4 lines missingHe brought him cucumbers in ……, brought him apples with their stems sticking out , brought him grapes in their clusters, filled his lap.
 ^d-en-ki-ke4 igi-ni im-ma-an-sig7-sig7 ĝidru šu bi2-in-du8  ^d-en-ki-ke4 ^d-uttu-ra ĝiri3 im-ma-an-gub  e2-na al-dub2-dub2-e ĝal2-u3 [ĝal2-u3]  a-ba-me-en za-e-me-en  ĝe26-e nu-^ĝiš-kiri6 ukuš2 ^ĝiš-ḫašḫur [^ĝiš-ĝeštin] ḫe2-am3-še3 ga-mu-ra-ab-šum2  ^d-uttu šag4 ḫul2-la-ni-ta e2-e ĝal2 ba-an-taka4  ^d-en-ki-ke4 ^d-uttu-ra munus NI-buluĝ3  ukuš2 sur-ra-na ba-na-ab-šum2-mu  ^ĝiš-ḫašḫur gu ul-ul-ba ba-na-ab-šum2-mu  ^ĝiš-ĝeštin ga-ra-an-ba ba-na-ab-šum2-mu  kaš ^gi-ba-an gu-la im-ma-ab-[…] ;" Enki made his face attractive and took a staff in his hand. Enki came to a halt at Uttu's, knocked at her house : ""Open up, open up."" : ""Who are you?""  ""I am a gardener. Let me give you cucumbers, apples, and grapes for your consent."" Joyfully Uttu opened the house. Enki gave Uttu, the exalted woman, cucumbers in ……, gave her apples with their stems sticking out , gave her grapes in their clusters. { He poured beer for her in the large ban measure.}"
 ^d-uttu munus NI-buluĝ3 gabu2 mu-na-ab-sig10-ge šu mu-na-sag3-ge  ^d-en-ki-ke4 ^d-uttu-ra ul im-ma-ni-in-ti  gaba šu im-mi-in-dab ur2-ra-na nu2-a  ḫaš2 mu-un-tag-tag-ge šu mu-un-tag-tag-ge  gaba^?- šu im-mi-in-dab5^?- ur2-ra-na nu2-a  lu2-tur ĝiš3 im-in-du3   ^d-en-ki-ke4 ^d-uttu a šag4 mu-ni-in-ri  a šag4-ga šu ba-ši-in-ti a ^d-en-ki-ka3-kam ; Uttu, the exalted woman, …… to the left for him, waved the hands for him. Enki aroused Uttu. He clasped her to the bosom, lying in her crotch, fondled her thighs, fondled her with the hand. He clasped her to the bosom, lying in her crotch, made love to the youngster and kissed her. Enki poured semen into Uttu's womb and she conceived the semen in the womb, the semen of Enki.
 ^d-uttu munus sag9-ga a2^?- ḫaš2-ĝu10 im-me a2^?- bar-ĝu10 a2^?-  ša3^?--ba-ĝu10  im-[me]  ^d-nin-ḫur-saĝ-ĝa2 a ḫaš2-ta ba-an-tag-tag ;" Uttu, the beautiful woman, cried out: ""Woe, my thighs."" She cried out: ""Woe, my body. Woe, my heart."" Ninḫursaĝa removed the semen from the thighs. 2 lines fragmentary"
 [u2-ĝiš im-ma-an-mu2]  [u2-lal3 im-ma]-an-mu2  [u2-sar-ra im-ma]-an-mu2  [^u2-a-tu-tu im]-ma-an-mu2  [^u2-aš-tal2-tal2] /im\-ma-an-mu2  [^u2-…] /im\-ma-an-mu2  [^u2-am-ḫa-ru] im-ma-an-mu2 ; She grew the 'tree' plant, she grew the 'honey' plant, she grew the 'vegetable' plant, she grew the esparto grass , she grew the atutu plant, she grew the aštaltal plant, she grew the …… plant, she grew the amḫaru plant.
 ^d-en-ki-ke4 ambar-ra im-da-la2 e-ne im-da-la2 e-ne  sukkal-a-ni ^d-isimud4-de3 gu3 mu-na-de2-e  u2 ĝe26-e nam-bi /li\-bi2-tar-re  a-na-am3 ne-e a-na-am3 ne-e ;" Enki was able to see up there from in the marsh, he was able to see up there, he was. He said to his minister Isimud: ""I have not determined the destiny of these plants. What is this one? What is that one?"""
" sukkal-a-ni ^d-isimud4-de3 mu-na-ni-ib2-gi4-gi4  [lugal]-ĝu10 u2-ĝiš mu-na-ab-be2  mu-na-kud-de3 ba-/gu7\-[e]  lugal-ĝu10 u2-lal3 mu-na-ab-be2  mu-na-bur12-re ba-gu7-e  lugal-ĝu10 /u2-sar-ra\ mu-&lt;na-ab-be2>  mu-na-kud-de3 ba-&lt;gu7-e>  mu-na-bur12-re ba-&lt;gu7-e> ";" His minister Isimud had the answer for him. ""My master, the 'tree' plant,"" he said to him, cut it off for him and Enki ate it. ""My master, the 'honey' plant,"" he said to him, pulled it up for him and Enki ate it. ""My master, the 'vegetable' plant,"" he said to him, cut it off for him and Enki ate it. ""My master, the alfalfa grass ,"" he said to him, pulled it up for him and Enki ate it."
" [lugal-ĝu10 ^u2-a]-tu-tu mu-&lt;na-ab-be2>  [mu-na-kud-de3] ba-&lt;gu7-e>  [lugal-ĝu10 ^u2-aš-tal2]-tal2 mu-&lt;na-ab-be2>  [mu-na-bur12-re ba-gu7-e]  [lugal-ĝu10 ^u2-… mu-na-ab-be2]  [mu-na-kud-de3] /ba\-&lt;gu7-e>  [lugal-ĝu10 ^u2-]am-ḫa-ru mu-na-ab-be2  [mu-na-bu]-re ba-gu7-e  [^d-en-ki]-/ke4\ u2 nam-bi bi2-in-tar šag4-ba ba-ni-in-zu ";" ""My master, the atutu plant,"" he said to him, cut it off for him and Enki ate it. ""My master, the aštaltal plant,"" he said to him, pulled it up for him and Enki ate it. ""My master, the …… plant,"" he said to him, cut it off for him and Enki ate it. ""My master, the amḫaru plant,"" he said to him, pulled it up for him and Enki ate it. Enki determined the destiny of the plants, had them know it in their hearts."
 ^d-nin-ḫur-saĝ-ĝa2-ke4 mu ^d-en-ki nam-erim2 ba-an-kud   i-bi2 na-aĝ2-til3-la  en-na ba-ug5-ge-a  i-bi2  ba-ra-an-bar-re-en  ka5-a ^d-en-lil2-ra mu-na-da-ab-be2  ĝe26-e ^d-nin-ḫur-saĝ-ĝa2 mu-e-ši-tum2-mu-un a-na-am3 niĝ2-ba-ĝu10  ^d-en-lil2-le ka5-a mu-na-ni-ib2-gi4-gi4  za-e ^d-nin-ḫur-saĝ-ĝa2 mu-e-tum2-mu-un-nam  iri-ĝa2 2 ĝiš-gana2 ga-ri-du3 mu-zu ḫe2-pad3-de3 ;" Ninḫursaĝa cursed the name Enki: ""Until his dying day, I will never look upon him with life-giving eye."" The Anuna sat down in the dust. But a fox was able to speak to Enlil: ""If I bring Ninḫursaĝa to you, what will be my reward?"" Enlil answered the fox: ""If you bring Ninḫursaĝa to me, I shall erect two birch trees for you in my city and you will be renowned."""
 ka5-a su-ni 1-am3 im-ma-an-peš5-peš5  siki^?--ni 1-am3 im-ma-an-bur2-bur2  igi-ni 1-am3 šembizid bi2-in-ĝar ; The fox first anointed his body, first shook out his fur , first put kohl on his eyes. 4 lines fragmentary
 [nibru^ki--še3 mu]-ĝen-ne-en ^d-en-lil2 […]  [urim2^ki-]-/še3\ mu-ĝen-ne-en ^d-nanna […]  [larsam^ki-]-še3 mu-ĝen-ne-en ^d-utu^?- […]  [unug^ki-]-še3 mu-ĝen-ne-en ^d-inana X […]  […] X i3-me-a zi^?--ĝu10 mu-X-tum2-mu […]  X X X […]  ^d-nin-ḫur-saĝ-ĝa2 X […]  […] NE […]  […] BA NE^?- DU ;"  ""I have been to Nibru, but Enlil ……. I have been to Urim, but Nanna ……. I have been to Larsam, but Utu ……. I have been to Unug, but Inana ……. I am seeking refuge with one who is ……."" 7 lines fragmentary"
 ^d-nin-ḫur-saĝ-ĝa2-ke4 e2^?- kaš4 im-ma-an-dug4  ^d-a-nun-/na\-[ke4]-/ne\ tug2-ga-ni ba-an-dab5-be2-eš  LI^?- im-ma-an-ak-eš  nam im-ma-an-tar-eš  šu LI^?- im-ma-an-bur2-ru-uš  ^d-nin-ḫur-saĝ-ĝa2-ke4 ^d-en-ki gal4-la-na ba-ni-in-tuš  šu MUŠ3-/ba\ […] bar-ba NE X […] ; Ninḫursaĝa hastened to the temple. The Anuna slipped off her garment, made ……, determined its destiny and ……. Ninḫursaĝa made Enki sit by her vagina. { She placed her hands on ……. and ……. on its outside.}
 šeš-ĝu10 a-na-zu a-ra-gig  ugu-dilim2-ĝu10 ma-gig  ^d-ab-u2 im-ma-ra-an-tu-ud  šeš-ĝu10 a-na-zu a-ra-gig  pa siki-ĝu10 ma-gig  ^d-nin-siki-la2 im-ma-ra-an-tu-ud  šeš-ĝu10 a-na-zu a-ra-gig giri17-ĝu10 ma-gig  ^d-nin-giri17-u3-tud im-ma-ra-an-tu-ud  šeš-ĝu10 a-na-zu a-ra-gig ka-ĝu10 ma-gig  ^d-nin-ka-si im-ma-ra-an-tu-[ud] ;"  ""My brother, what part of you hurts you?"" ""The top of my head hurts me."" She gave birth to Ab-u out of it. ""My brother, what part of you hurts you?"" ""The locks of my hair hurt me."" She gave birth to Ninsikila out of it. ""My brother, what part of you hurts you?"" ""My nose hurts me."" She gave birth to Ningiriutud out of it. ""My brother, what part of you hurts you?"" ""My mouth hurts me."" She gave birth to Ninkasi out of it."
